filename,image_path,mask_path,canopy_percentage,canopy_category,canopy_canopy_percentage,canopy_ndvi_mean,canopy_ndvi_std,canopy_exg_mean,canopy_vegetation_pixels,canopy_total_pixels,mask_is_binary,mask_unique_values,mask_num_components,mask_small_artifacts,mask_large_holes,mask_continuity_ratio,mask_river_area_pixels,boundary_edge_pixels,boundary_gradient_variance,boundary_boundary_roughness,alignment_alignment_score,alignment_mask_edges,alignment_overlapping_edges,sharpness,sharpness_quality,brightness_mean_brightness,brightness_std_brightness,brightness_min_brightness,brightness_max_brightness,brightness_dynamic_range,brightness_exposure_quality,shadow_percentage,color_mean_hue,color_mean_saturation,color_std_saturation,color_color_diversity,noise_sigma,noise_level,month
DJI_20250324092908_0001_V_March.png,data\raw\images\DJI_20250324092908_0001_V_March.png,data\raw\masks\DJI_20250324092908_0001_V_March.png,25.99029541015625,Sparse,25.99029541015625,0.09380281092080153,0.1470487957174619,0.11449460796281404,68132,262144,True,"[0, 255]",7,1,5,0.8516668747658884,8009,1310,103.25109958648682,1.3152671755725192,0.09465648854961832,1310,124,12471.218400907328,Sharp,111.60778427124023,68.78865076081414,0,255,255,Well Exposed,35.37178039550781,55.78512954711914,88.02322769165039,65.42548218664464,36.355446399964286,112.71111817816238,High,March
DJI_20250324092908_0002_V_March.png,data\raw\images\DJI_20250324092908_0002_V_March.png,data\raw\masks\DJI_20250324092908_0002_V_March.png,26.07879638671875,Sparse,26.07879638671875,0.0953230998430803,0.14759141206777834,0.11541430903416051,68364,262144,True,"[0, 255]",5,1,3,0.8665640236079035,7794,1275,101.14266872406006,1.3270588235294118,0.07215686274509804,1275,92,12526.3432404791,Sharp,111.69747543334961,68.78404672566592,0,255,255,Well Exposed,35.422515869140625,56.047054290771484,88.0260124206543,65.41307139822464,36.1200934426272,112.6958577606283,High,March
DJI_20250324092909_0003_V_March.png,data\raw\images\DJI_20250324092909_0003_V_March.png,data\raw\masks\DJI_20250324092909_0003_V_March.png,26.255416870117188,Sparse,26.255416870117188,0.09763352715962556,0.14961066513099314,0.11344626931583181,68827,262144,True,"[0, 255]",7,2,4,0.8626536185707784,8788,1418,112.11891174316406,1.3413258110014104,0.14245416078984485,1418,202,12528.814616124006,Sharp,110.94318389892578,68.74426306022455,0,255,255,Well Exposed,35.81123352050781,56.933433532714844,87.83405685424805,65.64964788672846,36.61908371645951,112.70912894436033,High,March
DJI_20250324092925_0004_V_March.png,data\raw\images\DJI_20250324092925_0004_V_March.png,data\raw\masks\DJI_20250324092925_0004_V_March.png,17.345809936523438,Sparse,17.345809936523438,0.07166246560166792,0.14263492604710062,0.08770083259133733,45471,262144,True,"[0, 255]",6,2,2,0.8485103517926275,5941,1191,97.54588735777361,1.3895885810243493,0.14021830394626364,1191,167,12311.775391517614,Sharp,119.26207733154297,68.67871356232445,0,255,255,Well Exposed,30.980300903320312,56.59971237182617,76.63917922973633,60.757180375785545,39.90030317541795,112.57206902652851,High,March
DJI_20250324092926_0005_V_March.png,data\raw\images\DJI_20250324092926_0005_V_March.png,data\raw\masks\DJI_20250324092926_0005_V_March.png,17.023849487304688,Sparse,17.023849487304688,0.07097094859252459,0.14243275953855541,0.08353869868259803,44627,262144,True,"[0, 255]",5,1,2,0.8260946017232285,5687,1170,94.8793888092041,1.3572649572649573,0.14358974358974358,1170,168,12334.9305764348,Sharp,118.76967239379883,68.61803708214099,0,255,255,Well Exposed,31.194686889648438,58.69589614868164,75.93841171264648,60.755014241100525,41.690212917332126,112.59296753787234,High,March
DJI_20250324092927_0006_V_March.png,data\raw\images\DJI_20250324092927_0006_V_March.png,data\raw\masks\DJI_20250324092927_0006_V_March.png,17.311859130859375,Sparse,17.311859130859375,0.07291555082505984,0.14474798618868637,0.08603214937097886,45382,262144,True,"[0, 255]",5,1,2,0.7903603182030885,6411,1217,97.08075771775383,1.3508627773212818,0.17748562037797863,1217,216,12292.62970259873,Sharp,119.55813598632812,68.59995978906328,0,255,255,Well Exposed,30.7830810546875,58.376930236816406,76.3083610534668,60.88216182977896,41.290049745918225,112.58608908577183,High,March
DJI_20250324092928_0007_V_March.png,data\raw\images\DJI_20250324092928_0007_V_March.png,data\raw\masks\DJI_20250324092928_0007_V_March.png,17.28973388671875,Sparse,17.28973388671875,0.07257284661644017,0.14486730697621664,0.08473850325042126,45324,262144,True,"[0, 255]",5,1,2,0.7935370900986947,6282,1190,97.11170875816606,1.3638655462184874,0.14201680672268907,1190,169,12350.895508751273,Sharp,118.32591247558594,68.64726747495834,0,255,255,Well Exposed,31.367874145507812,58.386146545410156,76.37715530395508,61.12408321862482,41.40868202661028,112.57681585538874,High,March
DJI_20250324092928_0008_V_March.png,data\raw\images\DJI_20250324092928_0008_V_March.png,data\raw\masks\DJI_20250324092928_0008_V_March.png,17.0989990234375,Sparse,17.0989990234375,0.07183875207919667,0.14295829244242186,0.08490614049574909,44824,262144,True,"[0, 255]",5,1,2,0.7894392676148438,6117,1200,94.81737613677979,1.3233333333333333,0.155,1200,186,12295.52181860432,Sharp,119.67388534545898,68.56228973674396,0,255,255,Well Exposed,30.68695068359375,58.71831512451172,75.68373107910156,60.812319804139065,41.570653030290586,112.60931280589791,High,March
DJI_20250324092953_0009_V_March.png,data\raw\images\DJI_20250324092953_0009_V_March.png,data\raw\masks\DJI_20250324092953_0009_V_March.png,27.523422241210938,Sparse,27.523422241210938,0.11715101495123106,0.15141436555351015,0.1067337335324755,72151,262144,True,"[0, 255]",3,1,0,0.9322834645669291,22225,1809,144.36437514368663,1.3244886677722498,0.21227197346600332,1809,384,14162.554691528669,Sharp,108.67011260986328,70.04645653415645,0,255,255,Well Exposed,38.87481689453125,63.48060989379883,87.25453567504883,64.13171789088284,37.23694742592924,112.86022740272278,High,March
DJI_20250324092954_0010_V_March.png,data\raw\images\DJI_20250324092954_0010_V_March.png,data\raw\masks\DJI_20250324092954_0010_V_March.png,27.59857177734375,Sparse,27.59857177734375,0.11572404706297902,0.15343302183739435,0.10823373233570774,72348,262144,True,"[0, 255]",4,2,0,0.9282207774976782,22611,1825,145.44982844379308,1.3375342465753424,0.23506849315068493,1825,429,14362.956151315335,Sharp,110.54925918579102,70.42917538280876,0,255,255,Well Exposed,37.98866271972656,62.84782409667969,87.42949295043945,64.18218546670732,37.28316733451535,112.69408498225452,High,March
DJI_20250324092955_0011_V_March.png,data\raw\images\DJI_20250324092955_0011_V_March.png,data\raw\masks\DJI_20250324092955_0011_V_March.png,28.6712646484375,Sparse,28.6712646484375,0.12166217132042333,0.154379113045664,0.10904539519665288,75160,262144,True,"[0, 255]",3,0,1,0.9378166330419189,22305,1636,130.53635160313206,1.2707823960880196,0.171760391198044,1636,281,13784.13340125978,Sharp,107.14183044433594,69.08014499099305,0,255,255,Well Exposed,39.542388916015625,64.1418571472168,88.76282501220703,63.9900033976352,37.21522966589329,113.05700179933264,High,March
DJI_20250324092956_0012_V_March.png,data\raw\images\DJI_20250324092956_0012_V_March.png,data\raw\masks\DJI_20250324092956_0012_V_March.png,31.396865844726562,Moderate,31.396865844726562,0.12096111703188107,0.14427991380747707,0.1237927754720052,82305,262144,True,"[0, 255]",2,0,0,0.9815089024522373,27689,1892,154.44255777490514,1.2928118393234673,0.19873150105708245,1892,376,13290.176260878072,Sharp,109.4765739440918,66.36353923296714,0,255,255,Well Exposed,36.554718017578125,64.18878173828125,88.28001022338867,61.7986886946919,35.18561943649149,113.37855829894286,High,March
DJI_20250324092957_0013_V_March.png,data\raw\images\DJI_20250324092957_0013_V_March.png,data\raw\masks\DJI_20250324092957_0013_V_March.png,34.60350036621094,Moderate,34.60350036621094,0.12351427453625816,0.14049718146533505,0.1341501422956878,90711,262144,True,"[0, 255]",2,0,0,0.9795241809672387,30768,1754,137.19843423039026,1.272519954389966,0.19327251995438996,1754,339,11352.771596230656,Sharp,107.16874694824219,63.53742236624768,0,255,255,Well Exposed,34.973907470703125,64.24161529541016,90.24038314819336,60.25783197477502,34.34698724155417,114.33851830071933,High,March
DJI_20250324092958_0014_V_March.png,data\raw\images\DJI_20250324092958_0014_V_March.png,data\raw\masks\DJI_20250324092958_0014_V_March.png,38.726806640625,Moderate,38.726806640625,0.1446641955950298,0.15388203977255477,0.1487966350480622,101520,262144,True,"[0, 255]",1,0,0,1.0,29523,1730,133.13388002570719,1.2560693641618497,0.1976878612716763,1730,342,10363.18130917265,Sharp,102.82831954956055,62.21870948936038,0,255,255,Well Exposed,36.45515441894531,64.82157897949219,97.38984298706055,61.577517556913996,32.14187457288498,114.86533488243761,High,March
DJI_20250324092958_0015_V_March.png,data\raw\images\DJI_20250324092958_0015_V_March.png,data\raw\masks\DJI_20250324092958_0015_V_March.png,37.349700927734375,Moderate,37.349700927734375,0.1422997844366081,0.15503083595131328,0.13887037389418655,97910,262144,True,"[0, 255]",2,0,0,0.8703193832599119,29056,1766,139.24776683431895,1.2519818799546998,0.18063420158550397,1766,319,10260.80107065267,Sharp,100.6408805847168,61.971891342287144,0,255,255,Well Exposed,38.091278076171875,66.28746032714844,97.05309677124023,61.72521481253853,33.959649890154616,114.98902087154072,High,March
DJI_20250324092959_0016_V_March.png,data\raw\images\DJI_20250324092959_0016_V_March.png,data\raw\masks\DJI_20250324092959_0016_V_March.png,37.17079162597656,Moderate,37.17079162597656,0.14039881462127077,0.1534872219961792,0.1377645155962776,97441,262144,True,"[0, 255]",2,0,0,0.8748626053359091,30023,1909,153.5737061661847,1.248297537977999,0.20429544264012572,1909,390,10320.362224287295,Sharp,101.2425765991211,62.078361168706664,0,255,255,Well Exposed,37.506103515625,66.63405227661133,96.42314529418945,61.62847883168635,34.39209199036825,114.91564296982499,High,March
